Category,2010_19_Yes,2010_19_No,2010_20_Yes,2010_20_No,2010_21_Yes,2010_21_No,2010_22_Yes,2010_22_No,2010_23_Yes,2010_23_No,2010_24_Yes,2010_24_No,2010_25_Yes,2010_25_No,2010_26_Yes,2010_26_No,2010_27_Yes,2010_27_No,2010_13_Yes,2010_13_No,2010_14_Yes,2010_14_No,2010_15_Yes,2010_15_No, 2010_16_Yes,2010_16_No, 2010_17_Yes,2010_17_No
Sutter_Total,"8,795","16,362","15,214","8,598","7,477","17,342","16,056","7,996","13,486","11,118","7,789","16,152","10,427","14,095","15,580","8,374","9,036","14,526","13,303","3,144","9,200","7,536","5,136","11,219","9,876","6,939","9,719","7,070"
Sutter_Percent,34.90%,65.10%,63.90%,36.10%,30.10%,69.90%,66.80%,33.20%,54.90%,45.10%,32.50%,67.50%,42.50%,57.50%,65.10%,34.90%,38.30%,61.70%,80.9%,19.1%,55.0%,45.0%,31.4%,68.6%,58.8%,41.2%,57.9%,42.1%
Tehama_Total,"7,374","12,826","12,264","6,900","4,661","15,278","12,766","6,745","10,935","8,851","6,244","13,068","7,969","11,627","11,956","7,323","6,378","12,719","11,214","3,134","8,224","6,324","4,563","9,633","7,474","7,110","6,927","7,653"
Tehama_Percent,36.50%,63.50%,64.00%,36.00%,23.30%,76.70%,65.50%,34.50%,55.30%,44.70%,32.30%,67.70%,40.60%,59.40%,62.10%,37.90%,33.30%,66.70%,78.2%,21.8%,56.6%,43.4%,32.1%,67.9%,51.3%,48.7%,47.5%,52.5%
Trinity_Total,"2,254","3,327","3,250","1,983","1,641","3,852","3,537","1,756","2,319","3,099","1,989","3,187","2,634","2,674","2,795","2,428","1,744","3,403","3,419",849,"2,732","1,649","1,675","2,567","2,015","2,328","1,865","2,498"
Trinity_Percent,40.30%,59.70%,62.20%,37.80%,29.80%,70.20%,66.90%,33.10%,42.80%,57.20%,38.40%,61.60%,49.60%,50.40%,53.60%,46.40%,33.80%,66.20%,80.2%,19.8%,62.4%,37.6%,39.4%,60.6%,46.3%,53.7%,42.7%,57.3%
Tulare_Total,"27,390","53,816","51,893","25,193","19,440","60,475","52,042","25,903","42,162","36,589","24,689","52,845","33,717","44,876","50,320","27,357","27,120","49,148","35,856","8,788","22,519","22,706","13,532","30,809","23,168","22,156","24,041","21,322"
Tulare_Percent,33.70%,66.30%,67.40%,32.60%,24.30%,75.70%,66.80%,33.20%,53.60%,46.40%,31.80%,68.20%,42.90%,57.10%,64.80%,35.20%,35.50%,64.50%,80.4%,19.6%,49.7%,50.3%,30.5%,69.5%,51.2%,48.8%,53.0%,47.0%
Tuolumne_Total,"9,806","12,602","14,553","6,623","7,729","14,357","14,401","6,899","10,869","10,861","7,320","13,860","11,297","10,460","12,166","9,015","6,985","14,015","13,124","2,503","9,179","6,662","5,297","9,981","8,119","7,697","7,872","7,959"
Tuolumne_Percent,43.70%,56.30%,68.80%,31.20%,34.90%,65.10%,67.70%,32.30%,50.10%,49.90%,34.50%,65.50%,52.00%,48.00%,57.50%,42.50%,33.20%,66.80%,84.0%,16.0%,58.0%,42.0%,34.6%,65.4%,51.4%,48.6%,49.7%,50.3%
Ventura_Total,"117,271","142,844","157,102","90,089","105,641","150,562","156,789","91,569","103,235","150,225","96,869","150,396","125,733","125,435","132,838","109,714","90,283","148,605","121,815","18,040","76,074","65,583","54,037","84,030","74,516","66,477","72,665","69,175"
Ventura_Percent,45.00%,55.00%,63.60%,36.40%,41.20%,58.80%,63.20%,36.80%,40.70%,59.30%,39.10%,60.90%,50.10%,49.90%,54.80%,45.20%,37.70%,62.30%,87.2%,12.8%,53.8%,46.2%,39.1%,60.9%,52.9%,47.1%,51.3%,48.7%
Yolo_Total,"29,247","30,304","33,227","22,884","31,706","27,066","29,363","26,869","18,484","39,895","27,038","28,726","36,041","21,626","23,384","32,939","19,902","35,210","26,970","6,550","18,429","15,948","14,452","18,782","11,409","23,067","12,999","21,147"
Yolo_Percent,49.10%,50.90%,59.30%,40.70%,54.00%,46.00%,52.30%,47.70%,31.60%,68.40%,48.40%,51.60%,62.50%,37.50%,41.50%,58.50%,36.10%,63.90%,80.5%,19.5%,53.7%,46.3%,43.4%,56.6%,33.0%,67.0%,38.0%,62.0%
Yuba_Total,"6,454","9,852","10,401","5,265","4,612","11,572","10,982","4,861","8,826","7,200","5,688","10,052","7,489","8,370","9,959","5,601","5,573","9,821","8,368","1,861","6,162","4,197","3,649","6,518","6,140","4,249","5,544","4,841"
Yuba_Percent,39.50%,60.50%,66.40%,33.60%,28.40%,71.60%,69.40%,30.60%,55.10%,44.90%,36.10%,63.90%,47.20%,52.80%,64.10%,35.90%,36.20%,63.80%,81.9%,18.1%,59.5%,40.5%,35.8%,64.2%,59.2%,40.8%,53.4%,46.6%
State_Total,"4,643,592","5,333,230","5,743,069","3,636,892","4,190,643","5,615,595","5,733,755","3,725,014","3,733,883","5,974,564","3,947,502","5,470,477","5,262,052","4,292,648","4,923,834","4,470,234","3,736,443","5,468,703","4,473,249","790,899","2,868,945","2,470,658","2,218,273","2,975,731","2,526,544","2,820,135","2,575,659","2,778,599"
State_Percent,46.50%,53.50%,61.30%,38.70%,42.70%,57.30%,60.70%,39.30%,38.40%,61.60%,41.90%,58.10%,55.10%,44.90%,52.50%,47.50%,40.50%,59.50%,85.0%,15.0%,53.8%,46.2%,42.7%,57.3%,47.2%,52.8%,48.1%,51.9%
