Category,2006_1A_Yes,2006_1A_No,2006_1B_Yes,2006_1B_No,2006_1C_Yes,2006_1C_No,2006_1D_Yes,2006_1D_No,2006_1E_Yes,2006_1D_No,2006_83_Yes,2006_83_No,2006_84_Yes,2006_84_No,2006_85_Yes,2006_85_No,2006_86_Yes,2006_86_No,2006_87_Yes,2006_87_No,2006_88_Yes,2006_88_No,2006_89_Yes,2006_89_No,2006_90_Yes,2006_90_No,2006_81_Yes,2006_81_No,2006_82_Yes,2006_82_No
Siskiyou_Percent,71.40%,28.60%,39.90%,60.10%,45.30%,54.70%,38.40%,61.60%,44.80%,55.20%,69.60%,30.40%,30.10%,69.90%,47.20%,52.80%,37.40%,62.60%,33.10%,66.90%,15.50%,84.50%,23.00%,77.00%,57.70%,42.30%,33.4%,66.6%,37.1%,62.9%
Solano_Total,"78,788","22,795","61,841","39,726","60,031","41,400","57,367","44,140","66,799","34,522","75,440","27,013","52,049","48,242","46,420","55,640","46,552","56,949","42,544","60,040","21,295","80,143","20,691","79,584","46,052","54,290","25,437","36,835","25,799","37,099"
Solano_Percent,77.60%,22.40%,60.90%,39.10%,59.20%,40.80%,56.60%,43.40%,66.00%,34.00%,73.70%,26.30%,51.90%,48.10%,45.40%,54.60%,44.90%,55.10%,41.40%,58.60%,20.90%,79.10%,20.60%,79.40%,45.80%,54.20%,40.8%,59.2%,41.0%,59.0%
Sonoma_Total,"131,784","36,665","103,001","65,308","105,764","63,404","98,230","69,927","110,146","57,735","95,593","74,027","94,920","72,424","51,425","119,571","94,456","78,243","90,694","81,060","40,264","126,830","50,138","115,392","62,356","103,679","61,466","58,252","53,401","67,731"
Sonoma_Percent,78.30%,21.70%,61.20%,38.80%,62.60%,37.40%,58.50%,41.50%,65.70%,34.30%,56.40%,43.60%,56.80%,43.20%,30.00%,70.00%,54.70%,45.30%,52.90%,47.10%,24.00%,76.00%,30.20%,69.80%,37.50%,62.50%,51.4%,48.6%,44.0%,56.0%
Stanislaus_Total,"75,963","25,516","59,363","41,922","55,488","45,830","53,084","47,916","62,625","38,395","75,634","27,104","43,646","56,411","59,063","43,172","39,808","63,709","32,641","69,442","18,707","82,676","15,661","84,587","54,889","45,062","28,459","35,561","24,209","40,640"
Stanislaus_Percent,74.90%,25.10%,58.70%,41.30%,54.80%,45.20%,52.60%,47.40%,62.00%,38.00%,73.70%,26.30%,43.60%,56.40%,57.80%,42.20%,38.40%,61.60%,31.90%,68.10%,18.40%,81.60%,15.60%,84.40%,55.00%,45.00%,44.4%,55.6%,37.3%,62.7%
Sutter_Total,"17,547","5,404","12,554","10,362","11,147","11,707","10,902","12,034","16,976","6,198","17,764","5,508","9,581","13,151","13,341","9,814","8,018","15,515","5,992","17,304","3,857","19,201","3,164","19,732","12,812","10,082","4,975","9,448","4,266","10,302"
Sutter_Percent,76.50%,23.50%,54.80%,45.20%,48.70%,51.30%,47.50%,52.50%,73.30%,26.70%,76.40%,23.60%,42.10%,57.90%,57.70%,42.30%,34.00%,66.00%,25.70%,74.30%,16.70%,83.30%,13.80%,86.20%,56.00%,44.00%,34.4%,65.6%,29.2%,70.8%
Tehama_Total,"12,722","4,935","8,602","9,082","8,050","9,568","6,904","10,706","9,450","8,213","12,503","5,378","5,709","11,835","9,742","8,014","4,912","13,084","4,556","13,361","2,447","15,331","2,854","14,838","10,123","7,586","3,883","9,033","3,848","9,186"
Tehama_Percent,72.10%,27.90%,48.60%,51.40%,45.60%,54.40%,39.20%,60.80%,53.60%,46.40%,70.00%,30.00%,32.50%,67.50%,54.90%,45.10%,27.20%,72.80%,25.40%,74.60%,13.70%,86.30%,16.10%,83.90%,57.20%,42.80%,30.0%,70.0%,29.5%,70.5%
Trinity_Total,"3,868","1,827","2,335","3,350","2,677","2,982","2,262","3,397","2,596","3,061","3,794","2,011","1,782","3,804","2,406","3,287","2,025","3,802","2,098","3,676",913,"4,824","1,487","4,152","3,134","2,540","1,447","3,038","1,787","2,759"
Trinity_Percent,68.00%,32.00%,41.00%,59.00%,47.30%,52.70%,39.90%,60.10%,45.80%,54.20%,65.40%,34.60%,31.90%,68.10%,42.20%,57.80%,34.70%,65.30%,36.30%,63.70%,15.90%,84.10%,26.30%,73.70%,55.30%,44.70%,32.2%,67.8%,39.3%,60.7%
Tulare_Total,"48,206","17,552","36,882","28,819","34,067","32,190","32,890","33,434","35,930","29,462","49,136","17,701","26,964","38,263","41,460","25,206","21,832","45,633","18,158","48,833","11,454","54,856","9,045","56,912","33,331","32,111","16,088","24,876","14,005","27,166"
Tulare_Percent,73.40%,26.60%,56.20%,43.80%,51.50%,48.50%,49.50%,50.50%,55.00%,45.00%,73.60%,26.40%,41.30%,58.70%,62.20%,37.80%,32.30%,67.70%,27.10%,72.90%,17.20%,82.80%,13.70%,86.30%,51.00%,49.00%,39.2%,60.8%,34.0%,66.0%
Tuolumne_Total,"15,171","5,284","10,372","10,042","10,119","10,275","9,018","11,346","10,976","9,455","14,915","5,832","7,693","12,512","10,575","10,169","7,500","13,394","6,776","13,918","3,343","17,078","3,864","16,477","11,061","9,240","5,130","9,915","5,314","9,951"
Tuolumne_Percent,74.20%,25.80%,50.90%,49.10%,49.60%,50.40%,44.20%,55.80%,53.80%,46.20%,71.90%,28.10%,38.00%,62.00%,51.00%,49.00%,35.80%,64.20%,32.70%,67.30%,16.30%,83.70%,18.90%,81.10%,54.50%,45.50%,34.0%,66.0%,34.8%,65.2%
Ventura_Total,"170,447","46,157","129,137","86,906","112,094","103,119","115,154","100,091","130,080","84,096","155,847","61,828","109,911","104,066","105,087","113,025","101,056","119,517","91,489","127,998","43,971","172,603","50,694","163,951","103,637","111,120","49,979","71,630","40,990","82,166"
Ventura_Percent,78.70%,21.30%,59.80%,40.20%,52.10%,47.90%,53.50%,46.50%,60.80%,39.20%,71.60%,28.40%,51.40%,48.60%,48.10%,51.90%,45.80%,54.20%,41.60%,58.40%,20.30%,79.70%,23.60%,76.40%,48.20%,51.80%,41.0%,59.0%,33.2%,66.8%
Yolo_Total,"38,388","14,139","32,868","19,730","32,444","20,422","32,886","20,018","38,452","14,132","33,805","19,283","28,967","23,084","19,823","33,590","27,258","26,657","26,594","26,917","14,763","37,837","15,906","35,962","21,843","29,944","19,495","16,238","15,560","20,551"
Yolo_Percent,73.10%,26.90%,62.50%,37.50%,61.40%,38.60%,62.20%,37.80%,73.20%,26.80%,63.70%,36.30%,55.70%,44.30%,37.10%,62.90%,50.60%,49.40%,49.60%,50.40%,28.00%,72.00%,30.60%,69.40%,42.10%,57.90%,54.6%,45.4%,43.0%,57.0%
Yuba_Total,"10,328","3,494","7,060","6,725","6,601","7,143","6,066","7,682","8,907","4,871","10,052","3,845","5,358","8,302","7,688","6,158","4,468","9,491","3,661","10,185","2,294","11,489","2,248","11,431","7,597","6,045","3,513","6,590","3,475","6,763"
Yuba_Percent,74.80%,25.20%,51.30%,48.70%,48.00%,52.00%,44.10%,55.90%,64.70%,35.30%,72.40%,27.60%,39.20%,60.80%,55.60%,44.40%,32.00%,68.00%,26.40%,73.60%,16.60%,83.40%,16.40%,83.60%,55.70%,44.30%,34.7%,65.3%,33.9%,66.1%
State_Total,"6,400,587","1,916,925","5,112,142","3,218,657","4,814,850","3,521,055","4,754,868","3,602,055","5,305,852","2,962,546","5,926,800","2,483,597","4,431,945","3,807,005","3,868,714","4,576,128","4,136,358","4,425,689","3,861,217","4,635,265","1,947,312","6,396,956","2,124,728","6,132,618","3,932,043","4,324,722","2,326,354","2,591,012","1,958,243","3,036,283"
State_Percent,77.00%,23.00%,61.40%,38.60%,57.80%,42.20%,56.90%,43.10%,64.20%,35.80%,70.50%,29.50%,53.80%,46.20%,45.80%,54.20%,48.30%,51.70%,45.40%,54.60%,23.30%,76.70%,25.70%,74.30%,47.60%,52.40%,47.3%,52.7%,39.2%,60.8%
