,Proposition 1A,,Proposition 2,,Proposition 3,,Proposition 4,,Proposition 5,,Proposition 6,,Proposition 7,,Proposition 8,,Proposition 9,,Proposition 10,,Proposition 11,,Proposition 12,
Tulare,"45,494","55,622","44,607","56,749","54,319","46,691","67,194","35,021","29,988","70,894","34,268","64,672","32,546","67,250","78,578","26,113","56,571","42,834","35,465","64,716","48,234","48,491","62,446","37,104"
  Percent,44.90%,55.10%,44.00%,56.00%,53.80%,46.20%,65.80%,34.20%,29.70%,70.30%,34.60%,65.40%,32.60%,67.40%,75.10%,24.90%,57.00%,43.00%,35.40%,64.60%,49.80%,50.20%,62.80%,37.20%
,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,"9,575","16,602","14,468","12,270","10,455","15,631","12,959","13,347","8,857","17,443","7,296","18,467","8,605","17,476","16,964","10,163","13,230","11,910","7,641","17,680","13,209","11,314","16,014","8,993"
  Percent,36.50%,63.50%,54.20%,45.80%,40.00%,60.00%,49.20%,50.80%,33.60%,66.40%,28.30%,71.70%,32.90%,67.10%,62.60%,37.40%,52.70%,47.30%,30.10%,69.90%,53.90%,46.10%,64.10%,35.90%
,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,"157,714","166,885","216,185","114,135","167,908","153,687","163,189","166,008","120,807","202,751","104,853","211,796","112,304","209,724","178,719","159,284","186,164","133,020","118,886","186,514","151,194","141,258","190,603","106,022"
  Percent,48.50%,51.50%,65.50%,34.50%,52.30%,47.70%,49.50%,50.50%,37.30%,62.70%,33.10%,66.90%,34.80%,65.20%,52.90%,47.10%,58.40%,41.60%,38.90%,61.10%,51.70%,48.30%,64.30%,35.70%
,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,"39,441","37,155","45,017","32,264","36,804","38,627","27,948","49,791","31,156","44,529","17,979","56,392","25,318","50,567","32,816","46,537","32,977","41,002","25,638","49,500","36,739","35,250","41,039","32,915"
  Percent,51.50%,48.50%,58.30%,41.70%,48.70%,51.30%,35.90%,64.10%,41.10%,58.90%,24.10%,75.90%,33.30%,66.70%,41.30%,58.70%,44.50%,55.50%,34.10%,65.90%,51.10%,48.90%,55.50%,44.50%
,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,"8,193","12,365","11,280","9,583","9,627","10,931","11,700","9,152","7,239","13,397","7,025","13,382","6,788","13,692","14,323","6,868","11,225","8,983","6,790","13,585","10,095","9,607","12,558","7,663"
  Percent,39.80%,60.20%,54.10%,45.90%,46.80%,53.20%,56.20%,43.80%,35.00%,65.00%,34.40%,65.60%,33.10%,66.90%,67.60%,32.40%,55.60%,44.40%,33.30%,66.70%,51.30%,48.70%,62.20%,37.80%
,,,,,,,,,,,,,,,,,,,,,,,,
State Totals,"6,680,485","6,015,944","8,203,769","4,731,738","6,984,319","5,654,586","6,220,473","6,728,478","5,155,206","7,566,783","3,824,390","8,559,647","4,502,235","8,155,181","7,001,084","6,401,482","6,682,465","5,728,968","5,098,666","7,464,154","6,095,033","5,897,655","7,807,630","4,481,196"
  Percent,52.70%,47.30%,63.50%,36.50%,55.30%,44.70%,48.00%,52.00%,40.50%,59.50%,30.90%,69.10%,35.50%,64.50%,52.30%,47.70%,53.90%,46.10%,40.50%,59.50%,50.90%,49.10%,63.60%,36.40%
